Voyager2.UTCGregorian      Voyager2.SunMJ2000Eq.X    Voyager2.SunMJ2000Eq.Y    Voyager2.SunMJ2000Eq.Z    Voyager2.SunMJ2000Eq.VX   Voyager2.SunMJ2000Eq.VY   Voyager2.SunMJ2000Eq.VZ   
23 Aug 1977 13:31:44.000   132406245.6188948         -66247361.33979565        -27821183.36567476        16.48008800150608         30.95944417108066         16.97212948771424         
23 Aug 1977 14:31:44.000   132465540.5301902         -66135890.96318295        -27760076.96321043        16.46152775232198         30.96854121990378         16.9758712354919          
23 Aug 1977 15:31:44.000   132524768.6068663         -66024387.85489973        -27698957.09760745        16.44295765322942         30.97762840230931         16.97960898171101         
23 Aug 1977 16:31:44.000   132583929.8134073         -65912852.05080805        -27637823.78357482        16.42437767205926         30.9867055268182          16.98334255796933         
23 Aug 1977 17:31:44.000   132643024.1141868         -65801283.58744238        -27576677.03641212        16.40578777984853         30.99577241122875         16.98707180446305         
23 Aug 1977 18:31:44.000   132702051.4734726         -65689682.5019912         -27515516.87198685        16.38718795063232         31.00482888200478         16.9907965694186          
23 Aug 1977 19:31:44.000   132761011.8554516         -65578048.83223905        -27454343.30669199        16.36857816124506         31.01387477371537         16.99451670857036         
23 Aug 1977 20:31:44.000   132819905.2242317         -65466382.61655235        -27393156.35742708        16.34995839114421         31.02290992851468         16.99823208467747         
23 Aug 1977 21:31:44.000   132878731.5438443         -65354683.89386655        -27331956.04158103        16.33132862224744         31.03193419566061         17.00194256707762         
23 Aug 1977 22:31:44.000   132937490.7782671         -65242952.70363402        -27270742.3769946         16.31268883877308         31.04094743107314         17.00564803127494         
23 Aug 1977 23:31:44.000   132996182.8914251         -65131189.08581316        -27209515.38194556        16.29403902710942         31.04994949692309         17.00934835856217         
24 Aug 1977 00:31:44.000   133054807.8471899         -65019393.08086477        -27148275.07513864        16.27537917567558         31.0589402612532          17.01304343566067         
24 Aug 1977 01:31:44.000   133113365.609403          -64907564.72969877        -27087021.47566829        16.25670927480236         31.06791959762512         17.01673315439801         
24 Aug 1977 02:31:44.000   133171856.1418749         -64795704.07366849        -27025754.60300729        16.23802931662074         31.07688738479189         17.02041741140244         
24 Aug 1977 03:31:44.000   133230279.4083845         -64683811.15456911        -26964474.47700191        16.21933929495923         31.0858435063932          17.02409610782017         
24 Aug 1977 04:31:44.000   133288635.3726922         -64571886.0146029         -26903181.11784343        16.20063920524526         31.09478785067354         17.027769149053           
24 Aug 1977 05:31:44.000   133346923.9985521         -64459928.69635357        -26841874.54604989        16.18192904441249         31.10372031022031         17.03143644451454         
24 Aug 1977 06:31:44.000   133405145.2497            -64347939.24280259        -26780554.78246824        16.1632088108226          31.11264078171608         17.03509790740139         
24 Aug 1977 07:31:44.000   133463299.0898753         -64235917.69728246        -26719221.8482442         16.14447850418127         31.12154916571288         17.03875345448219         
24 Aug 1977 08:31:44.000   133521385.4828192         -64123864.10347619        -26657875.76481618        16.12573812546771         31.13044536641798         17.04240300589913         
24 Aug 1977 09:31:44.000   133579404.3922701         -64011778.50542264        -26596516.55391474        16.10698767686897         31.1393292914937          17.04604648498276         
24 Aug 1977 10:31:44.000   133637355.7819855         -63899660.94746818        -26535144.23752893        16.08822716171127         31.14820085187382         17.0496838180801          
24 Aug 1977 11:31:44.000   133695239.6157356         -63787511.47427675        -26473758.83791012        16.0694565844031          31.15705996158864         17.05331493439291         
24 Aug 1977 12:31:44.000   133753055.8573033         -63675330.13082737        -26412360.37756614        16.05067595038112         31.16590653760136         17.05693976582609         
24 Aug 1977 13:31:44.000   133810804.4704935         -63563116.96239044        -26350948.87924289        16.03188526605636         31.17474049965658         17.06055824684658         
24 Aug 1977 14:31:44.000   133868485.4191429         -63450872.01450744        -26289524.36591128        16.01308453876296         31.18356177013864         17.06417031435121         
24 Aug 1977 15:31:44.000   133926098.6671065         -63338595.33301316        -26228086.86077495        15.99427377671814         31.19237027393495         17.0677759075412          
24 Aug 1977 16:31:44.000   133983644.1782776         -63226286.96399472        -26166636.38724514        15.97545298897347         31.20116593831304         17.07137496780662         
24 Aug 1977 17:31:44.000   134041121.916584          -63113946.95379601        -26105172.96893951        15.95662218537704         31.20994869280129         17.07496743861631         
24 Aug 1977 18:31:44.000   134098531.8459817         -63001575.34902811        -26043696.62968614        15.93778137653803         31.21871846907695         17.07855326541447         
24 Aug 1977 19:31:44.000   134155873.930478          -62889172.19651975        -25982207.39349077        15.91893057378519         31.22747520086448         17.08213239552487         
24 Aug 1977 20:31:44.000   134213148.1341131         -62776737.54335471        -25920705.28455845        15.90006978913908         31.23621882383494         17.08570477805867         
24 Aug 1977 21:31:44.000   134270354.4209725         -62664271.43684146        -25859190.32727109        15.8811990352777          31.24494927551494         17.08927036382902         
24 Aug 1977 22:31:44.000   134327492.7551925         -62551773.92450345        -25797662.54618154        15.86231832550363         31.25366649519915         17.0928291052679          
24 Aug 1977 23:31:44.000   134384563.1009606         -62439245.05407467        -25736121.96600861        15.84342767372501         31.2623704238717          17.0963809563607          
25 Aug 1977 00:31:44.000   134441565.4225061         -62326684.87351747        -25674568.61164385        15.82452709442126         31.2710610041204          17.09992587255781         
25 Aug 1977 01:31:44.000   134498499.6841216         -62214093.43097707        -25613002.50812527        15.80561660261853         31.27973818007218         17.1034638107184          
25 Aug 1977 02:31:44.000   134555365.8501472         -62101470.77481368        -25551423.68065349        15.78669621387045         31.28840189731992         17.10699472904284         
25 Aug 1977 03:31:44.000   134612163.8849804         -61988816.95357823        -25489832.15457484        15.76776594423342         31.29705210285846         17.11051858701265         
25 Aug 1977 04:31:44.000   134668893.753082          -61876132.0160016         -25428227.95537526        15.74882581024399         31.30568874502375         17.11403534533378         
25 Aug 1977 05:31:44.000   134725555.4189733         -61763416.0109984         -25366611.10868001        15.72987582890057         31.31431177343407         17.11754496588221         
25 Aug 1977 06:31:44.000   134782148.8472326         -61650668.98767158        -25304981.64025446        15.71091601764626         31.32292113893411         17.12104741165258         
25 Aug 1977 07:31:44.000   134838674.0025019         -61537890.995299          -25243339.57599522        15.69194639434933         31.33151679354369         17.12454264671013         
25 Aug 1977 08:31:44.000   134895130.8494957         -61425082.08331435        -25181684.94191835        15.67296697728386         31.34009869040958         17.12803063614529         
25 Aug 1977 09:31:44.000   134951519.3529846         -61312242.30133927        -25120017.76417591        15.65397778511956         31.34866678375607         17.13151134602928         
25 Aug 1977 10:31:44.000   135007839.4778151         -61199371.69914176        -25058338.06903069        15.63497883690066         31.35722102884329         17.13498474337394         
25 Aug 1977 11:31:44.000   135064091.1889049         -61086470.32664525        -24996645.88286099        15.61597015203328         31.36576138192444         17.13845079609247         
25 Aug 1977 12:31:44.000   135120274.451228          -60973538.23395692        -24934941.23217368        15.59695175027744         31.37428780020328         17.14190947296123         
25 Aug 1977 13:31:44.000   135176389.2298446         -60860575.4713084         -24873224.14357189        15.5779236517242          31.38280024180079         17.14536074358653         
25 Aug 1977 14:31:44.000   135232435.489885          -60747582.08908512        -24811494.64376915        15.55888587678908         31.39129866571659         17.14880457837008         
25 Aug 1977 15:31:44.000   135288413.1965496         -60634558.13782705        -24749752.75958828        15.53983844620111         31.3997830317944          17.15224094847713         
25 Aug 1977 16:31:44.000   135344322.3151127         -60521503.66821989        -24687998.51795694        15.52078138099012         31.40825330069032         17.15566982580668         
25 Aug 1977 17:31:44.000   135400162.8109331         -60408418.73107295        -24626231.94589297        15.50171470247348         31.41670943384311         17.15909118296316         
